longitude,latitude,elevation
-122.999356,38.717938,70.6
-122.999381,38.71794,70.6
-122.99939,38.717957,70.6
-122.999372,38.717968,70.6
-122.999389,38.71797,70.6
-122.999414,38.717964,70.6
-122.999434,38.717959,70.6
-122.999457,38.71795,70.6
-122.999473,38.717938,70.6
-122.99949,38.71792,70.6
-122.999506,38.717899,70.6
-122.99952,38.717878,70.7
-122.999533,38.717854,70.7
-122.999547,38.717836,70.7
-122.999561,38.71782,70.7
-122.999573,38.717803,70.8
-122.999587,38.717788,70.8
-122.999599,38.717774,70.8
-122.999612,38.717759,70.8
-122.999642,38.717733,70.9
-122.999655,38.717719,70.9
-122.99967,38.717703,70.9
-122.999686,38.717689,70.9
-122.999699,38.717674,70.9
-122.999711,38.717657,70.9
-122.999725,38.717641,71.0
-122.999741,38.717625,71.0
-122.999757,38.717611,71.0
-122.999771,38.717597,71.0
-122.999785,38.717583,71.0
-122.999802,38.717568,71.0
-122.999817,38.717552,71.0
-122.999832,38.717534,71.0
-122.999848,38.717517,71.0
-122.999866,38.717498,71.1
-122.999881,38.717478,71.1
-122.999897,38.717456,71.1
-122.999915,38.717437,71.1
-122.999932,38.717419,71.1
-122.999948,38.717402,71.1
-122.999964,38.717384,71.1
-122.999979,38.717367,71.1
-122.999995,38.717348,71.2
-123.000008,38.717326,71.2
-123.000024,38.717308,71.2
-123.000039,38.71729,71.2
-123.000056,38.717271,71.2
-123.000071,38.717253,71.3
-123.000084,38.717235,71.3
-123.000099,38.717217,71.3
-123.000112,38.7172,71.3
-123.000125,38.71718,71.3
-123.000139,38.717162,71.4
-123.000151,38.717143,71.4
-123.000161,38.717124,71.4
-123.000173,38.717106,71.4
-123.000184,38.717087,71.4
-123.000196,38.717068,71.5
-123.000206,38.717047,71.5
-123.000219,38.717026,71.5
-123.000228,38.717004,71.5
-123.000239,38.716983,71.6
-123.000251,38.716963,71.6
-123.000264,38.716942,71.6
-123.000274,38.716921,71.6
-123.000284,38.7169,71.7
-123.000292,38.716879,71.7
-123.0003,38.716859,71.7
-123.000309,38.716837,71.8
-123.000318,38.716815,71.8
-123.000328,38.716794,71.8
-123.000333,38.716771,71.9
-123.00034,38.71675,71.9
-123.000345,38.716728,72.0
-123.000348,38.716708,72.0
-123.000353,38.71669,72.0
-123.000355,38.716672,72.1
-123.000358,38.716655,72.1
-123.00036,38.716634,72.2
-123.000362,38.716614,72.3
-123.000364,38.716597,72.3
-123.000366,38.716581,72.4
-123.000367,38.716566,72.4
-123.000365,38.716548,72.4
-123.000362,38.716529,72.5
-123.000358,38.716508,72.6
-123.000357,38.716488,72.6
-123.000355,38.716469,72.7
-123.00035,38.716447,72.8
-123.000347,38.716423,72.9
-123.000344,38.716402,73.0
-123.000342,38.71638,73.0
-123.00034,38.716361,73.1
-123.000338,38.716343,73.2
-123.000333,38.716325,73.3
-123.00033,38.716307,73.3
-123.000327,38.716289,73.4
-123.000322,38.716268,73.5
-123.000318,38.716247,73.6
-123.000311,38.716225,73.7
-123.000306,38.716206,73.8
-123.000301,38.716187,73.9
-123.000295,38.716166,74.0
-123.000291,38.716147,74.1
-123.000285,38.716129,74.2
-123.000276,38.716112,74.3
-123.000268,38.716097,74.4
